"Id","SenderID","SendDate","ThreadID","Content"
"1","2","2022-01-01 10:00:00","1","Hey there, how are you doing today?"
"2","1","2022-01-01 11:00:00","1","I'm good, thanks! How about you?"
"3","3","2022-01-02 12:00:00","2","What's up everyone?"
"4","4","2022-01-02 13:00:00","2","Not much, just hanging out"
"5","5","2022-01-03 14:00:00","3","Have you guys seen the new movie that just came out?"
"6","6","2022-01-03 15:00:00","3","No, but I've been meaning to"
"7","7","2022-01-04 16:00:00","4","Hey, has anyone seen my phone around here?"
"8","8","2022-01-04 17:00:00","4","No, sorry. Have you checked your pockets?"
"10","10","2022-01-05 19:00:00","5","I don't know yet, maybe just relaxing at home"
"11","11","2022-01-06 20:00:00","6","Does anyone have any recommendations for a good book to read?"
"12","12","2022-01-06 21:00:00","6","I just finished reading 'The Girl on the Train' and really enjoyed it"
"13","13","2022-01-07 22:00:00","7","Hey, can someone help me with this math problem?"
"14","14","2022-01-07 23:00:00","7","Sure, let's take a look"
"15","15","2022-01-08 09:00:00","8","I'm thinking about taking a trip somewhere. Any suggestions?"
"16","16","2022-01-08 10:00:00","8","What about Hawaii or the Caribbean?"
"17","17","2022-01-09 11:00:00","9","Has anyone tried that new restaurant on Main Street?"
"18","18","2022-01-09 12:00:00","9","I have, and it's really good!"
"19","19","2022-01-10 13:00:00","10","I can't believe it's already Monday again"
"20","-1","2022-01-10 14:00:00","10","I know, the weekend went by so fast!"
